player_id,team_id,player_name,team,position,assists_x,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,assists_y,total_competition_minutes_played,fdcp_top_scorer_rank
336641,285023_43978,Ryan Thomas,New Zealand,MF,0,0,0,0,0,0,0,0.0,0x,0,0,2,50,7,3,3,0,0,0,0,25,72,1,0,2,0,0,0,,,,22,6,12,4,15,7,1,15,22,62,7.4,216,78,13002.61,,,,,,,,0.0,0.0,103.0,821.0
337232,285023_43914,Eric Davis,Panama,DF,0,0,1,0,0,1,0,0.0,0x,2,0,1,1,1,0,1,0,0,0,0,7,43,3,33,2,0,0,0,,,,5,1,4,0,2,3,0,2,4,18,4.82,30,18,1809.13,,,,,,,,0.0,0.0,14.0,554.0
337251,285023_43914,Cecilio Waterman,Panama,FW,0,1,2,0,2,0,0,0.05,0x,0,0,7,19,2,1,1,0,0,0,0,10,70,0,0,1,0,0,0,,,,19,14,5,0,17,2,1,12,13,26,3.89,82,34,8772.9,,,,,,,,0.0,0.0,85.0,764.0
337389,285023_43967,Anthony Ralston,Scotland,DF,0,1,1,0,1,0,0,0.02,0x,0,0,2,9,2,2,0,0,0,0,0,5,100,1,100,1,100,1,100,,,,5,1,3,1,0,5,0,3,3,16,4.9,35,13,2807.5,,,,,,,,0.0,0.0,23.0,592.0
339112,285023_43976,Jason Geria,Australia,DF,0,0,0,0,0,0,0,0.0,0x,0,0,1,21,3,2,0,0,0,0,0,23,78,1,0,0,0,0,0,,,,3,1,0,2,1,2,0,2,5,46,3.24,78,29,7925.03,,,,,,,,0.0,0.0,75.0,741.0
339117,285023_43976,Mathew Ryan,Australia,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.95,2,0,206.87,,,,,,,,0.0,0.0,2.0,507.0
339510,285023_43921,Tim Ream,USA,DF,0,0,0,0,0,0,0,0.0,0x,0,0,3,16,6,0,2,0,0,0,0,298,94,0,0,6,33,5,100,,,,19,0,1,18,6,13,0,1,38,622,4.36,432,109,38063.62,,,,,,,,0.0,0.0,419.0,1245.0
339745,285023_43835,Salem Aldawsari,Saudi Arabia,FW,0,1,3,0,1,2,0,0.08,0x,0,0,15,120,15,3,4,1,0,0,1,81,72,2,0,4,75,1,100,,,,104,61,33,10,50,54,3,50,64,193,6.36,400,160,29452.07,,,,,,,,0.0,0.0,276.0,1081.0
339746,285023_43835,Ahmed Alkassar,Saudi Arabia,GK,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,264.0
339820,285023_43879,Kalidou Koulibaly,Senegal,DF,0,0,0,0,0,0,0,0.0,0x,0,0,3,21,5,0,0,0,0,0,0,83,88,0,0,1,0,3,100,,,,23,1,1,21,13,10,0,0,18,189,2.65,167,44,16073.86,,,,,,,,0.0,0.0,181.0,954.0
339987,285023_43938,Mateo Kovacic,Croatia,MF,1,4,5,0,1,4,0,0.46,0x,0,0,7,95,16,3,3,0,0,0,0,208,95,0,0,3,67,2,100,,,,88,4,27,57,60,28,1,15,86,442,6.73,354,108,32503.08,,,,,,,,0.0,1.0,293.0,229.0
