player_id,team_id,player_name,team,position,avg_speed,speed_runs,sprints,total_distance,source_tab,story_id,classification
433161,285023_20014,Edo Kayembe,Congo DR,MF,6.88,255,77,17922.73,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
430669,285023_43948,Florian Wirtz,Germany,MF,6.88,464,170,32349.46,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
494291,285023_43843,Ibrahim Maza,Algeria,MF,6.88,275,75,21623.12,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
385306,285023_43928,Andres Cubas,Paraguay,MF,6.87,512,143,35977.47,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
402021,285023_43971,Remo Freuler,Switzerland,MF,6.87,482,106,33791.83,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
466838,285023_43908,Danley Jean Jacques,Haiti,MF,6.87,470,138,33149.8,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:2
418729,285023_43914,Carlos Harvey,Panama,DF,6.85,322,78,23421.71,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
447855,285023_43969,Nico Williams,Spain,FW,6.85,57,36,4662.38,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
431212,285023_43820,Ali Olwan,Jordan,FW,6.85,293,111,23108.88,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
486147,285023_20014,Noah Sadiki,Congo DR,MF,6.84,129,47,10072.54,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
495488,285023_43855,Hamza Abdelkarim,Egypt,FW,6.83,58,37,4974.65,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
430718,285023_43969,Fabian Ruiz,Spain,MF,6.83,131,32,11704.95,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
429642,285023_43948,Jamal Musiala,Germany,MF,6.83,337,115,26658.54,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
368546,285023_44005,Igor Sergeev,Uzbekistan,FW,6.83,46,16,3601.0,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:3
